Filenames,Emotion,Intensity,Phrase
03-01-02-02-03.wav,3,1,2
03-02-01-01-03.wav,3,2,1
03-02-01-02-03.wav,3,2,1
03-02-02-01-03.wav,3,2,2
03-02-02-02-03.wav,3,2,2
04-01-01-01-03.wav,4,1,1
04-01-01-02-03.wav,4,1,1
04-01-02-01-03.wav,4,1,2
04-01-02-02-03.wav,4,1,2
04-02-01-01-03.wav,4,2,1
04-02-01-02-03.wav,4,2,1
04-02-02-01-03.wav,4,2,2
04-02-02-02-03.wav,4,2,2
05-01-01-01-03.wav,5,1,1
05-01-01-02-03.wav,5,1,1
05-01-02-01-03.wav,5,1,2
05-01-02-02-03.wav,5,1,2
05-02-01-01-03.wav,5,2,1
05-02-01-02-03.wav,5,2,1
05-02-02-01-03.wav,5,2,2
05-02-02-02-03.wav,5,2,2
06-01-01-01-03.wav,6,1,1
06-01-01-02-03.wav,6,1,1
06-01-02-01-03.wav,6,1,2
06-01-02-02-03.wav,6,1,2
06-02-01-01-03.wav,6,2,1
06-02-01-02-03.wav,6,2,1
06-02-02-01-03.wav,6,2,2
06-02-02-02-03.wav,6,2,2
07-01-01-01-03.wav,7,1,1
07-01-01-02-03.wav,7,1,1
07-01-02-01-03.wav,7,1,2
07-01-02-02-03.wav,7,1,2
07-02-01-01-03.wav,7,2,1
07-02-01-02-03.wav,7,2,1
07-02-02-01-03.wav,7,2,2
07-02-02-02-03.wav,7,2,2
08-01-01-01-03.wav,8,1,1
08-01-01-02-03.wav,8,1,1
08-01-02-01-03.wav,8,1,2
08-01-02-02-03.wav,8,1,2
08-02-01-01-03.wav,8,2,1
08-02-01-02-03.wav,8,2,1
08-02-02-01-03.wav,8,2,2
08-02-02-02-03.wav,8,2,2
01-01-01-01-05.wav,1,1,1
01-01-01-02-05.wav,1,1,1
01-01-02-01-05.wav,1,1,2
01-01-02-02-05.wav,1,1,2
02-01-01-01-05.wav,2,1,1
02-01-01-02-05.wav,2,1,1
02-01-02-01-05.wav,2,1,2
02-01-02-02-05.wav,2,1,2
02-02-01-01-05.wav,2,2,1
02-02-01-02-05.wav,2,2,1
02-02-02-01-05.wav,2,2,2
02-02-02-02-05.wav,2,2,2
03-01-01-01-05.wav,3,1,1
03-01-01-02-05.wav,3,1,1
03-01-02-01-05.wav,3,1,2
03-01-02-02-05.wav,3,1,2
03-02-01-01-05.wav,3,2,1
03-02-01-02-05.wav,3,2,1
03-02-02-01-05.wav,3,2,2
03-02-02-02-05.wav,3,2,2
04-01-01-01-05.wav,4,1,1
04-01-01-02-05.wav,4,1,1
04-01-02-01-05.wav,4,1,2
04-01-02-02-05.wav,4,1,2
04-02-01-01-05.wav,4,2,1
04-02-01-02-05.wav,4,2,1
04-02-02-01-05.wav,4,2,2
04-02-02-02-05.wav,4,2,2
05-01-01-01-05.wav,5,1,1
05-01-01-02-05.wav,5,1,1
05-01-02-01-05.wav,5,1,2
05-01-02-02-05.wav,5,1,2
05-02-01-01-05.wav,5,2,1
05-02-01-02-05.wav,5,2,1
05-02-02-01-05.wav,5,2,2
05-02-02-02-05.wav,5,2,2
06-01-01-01-05.wav,6,1,1
06-01-01-02-05.wav,6,1,1
06-01-02-01-05.wav,6,1,2
06-01-02-02-05.wav,6,1,2
06-02-01-01-05.wav,6,2,1
06-02-01-02-05.wav,6,2,1
06-02-02-01-05.wav,6,2,2
06-02-02-02-05.wav,6,2,2
07-01-01-01-05.wav,7,1,1
07-01-01-02-05.wav,7,1,1
07-01-02-01-05.wav,7,1,2
07-01-02-02-05.wav,7,1,2
07-02-01-01-05.wav,7,2,1
07-02-01-02-05.wav,7,2,1
07-02-02-01-05.wav,7,2,2
07-02-02-02-05.wav,7,2,2
08-01-01-01-05.wav,8,1,1
08-01-01-02-05.wav,8,1,1
08-01-02-01-05.wav,8,1,2
08-01-02-02-05.wav,8,1,2
08-02-01-01-05.wav,8,2,1
08-02-01-02-05.wav,8,2,1
08-02-02-01-05.wav,8,2,2
08-02-02-02-05.wav,8,2,2
01-01-01-01-07.wav,1,1,1
01-01-01-02-07.wav,1,1,1
01-01-02-01-07.wav,1,1,2
01-01-02-02-07.wav,1,1,2
02-01-01-01-07.wav,2,1,1
02-01-01-02-07.wav,2,1,1
02-01-02-01-07.wav,2,1,2
02-01-02-02-07.wav,2,1,2
02-02-01-01-07.wav,2,2,1
02-02-01-02-07.wav,2,2,1
02-02-02-01-07.wav,2,2,2
02-02-02-02-07.wav,2,2,2
03-01-01-01-07.wav,3,1,1
03-01-01-02-07.wav,3,1,1
03-01-02-01-07.wav,3,1,2
03-01-02-02-07.wav,3,1,2
03-02-01-01-07.wav,3,2,1
03-02-01-02-07.wav,3,2,1
03-02-02-01-07.wav,3,2,2
03-02-02-02-07.wav,3,2,2
04-01-01-01-07.wav,4,1,1
04-01-01-02-07.wav,4,1,1
04-01-02-01-07.wav,4,1,2
04-01-02-02-07.wav,4,1,2
04-02-01-01-07.wav,4,2,1
04-02-01-02-07.wav,4,2,1
04-02-02-01-07.wav,4,2,2
04-02-02-02-07.wav,4,2,2
05-01-01-01-07.wav,5,1,1
05-01-01-02-07.wav,5,1,1
05-01-02-01-07.wav,5,1,2
05-01-02-02-07.wav,5,1,2
05-02-01-01-07.wav,5,2,1
05-02-01-02-07.wav,5,2,1
05-02-02-01-07.wav,5,2,2
05-02-02-02-07.wav,5,2,2
06-01-01-01-07.wav,6,1,1
06-01-01-02-07.wav,6,1,1
06-01-02-01-07.wav,6,1,2
06-01-02-02-07.wav,6,1,2
06-02-01-01-07.wav,6,2,1
06-02-01-02-07.wav,6,2,1
06-02-02-01-07.wav,6,2,2
06-02-02-02-07.wav,6,2,2
07-01-01-01-07.wav,7,1,1
07-01-01-02-07.wav,7,1,1
07-01-02-01-07.wav,7,1,2
07-01-02-02-07.wav,7,1,2
07-02-01-01-07.wav,7,2,1
07-02-01-02-07.wav,7,2,1
07-02-02-01-07.wav,7,2,2
07-02-02-02-07.wav,7,2,2
08-01-01-01-07.wav,8,1,1
08-01-01-02-07.wav,8,1,1
08-01-02-01-07.wav,8,1,2
08-01-02-02-07.wav,8,1,2
08-02-01-01-07.wav,8,2,1
08-02-01-02-07.wav,8,2,1
08-02-02-01-07.wav,8,2,2
08-02-02-02-07.wav,8,2,2
01-01-01-01-09.wav,1,1,1
01-01-01-02-09.wav,1,1,1
01-01-02-01-09.wav,1,1,2
01-01-02-02-09.wav,1,1,2
02-01-01-01-09.wav,2,1,1
02-01-01-02-09.wav,2,1,1
02-01-02-01-09.wav,2,1,2
02-01-02-02-09.wav,2,1,2
02-02-01-01-09.wav,2,2,1
02-02-01-02-09.wav,2,2,1
02-02-02-01-09.wav,2,2,2
02-02-02-02-09.wav,2,2,2
03-01-01-01-09.wav,3,1,1
03-01-01-02-09.wav,3,1,1
03-01-02-01-09.wav,3,1,2
03-01-02-02-09.wav,3,1,2
03-02-01-01-09.wav,3,2,1
03-02-01-02-09.wav,3,2,1
03-02-02-01-09.wav,3,2,2
03-02-02-02-09.wav,3,2,2
04-01-01-01-09.wav,4,1,1
04-01-01-02-09.wav,4,1,1
04-01-02-01-09.wav,4,1,2
04-01-02-02-09.wav,4,1,2
04-02-01-01-09.wav,4,2,1
04-02-01-02-09.wav,4,2,1
04-02-02-01-09.wav,4,2,2
04-02-02-02-09.wav,4,2,2
05-01-01-01-09.wav,5,1,1
05-01-01-02-09.wav,5,1,1
05-01-02-01-09.wav,5,1,2
05-01-02-02-09.wav,5,1,2
05-02-01-01-09.wav,5,2,1
05-02-01-02-09.wav,5,2,1
05-02-02-01-09.wav,5,2,2
05-02-02-02-09.wav,5,2,2
06-01-01-01-09.wav,6,1,1
06-01-01-02-09.wav,6,1,1
06-01-02-01-09.wav,6,1,2
06-01-02-02-09.wav,6,1,2
06-02-01-01-09.wav,6,2,1
06-02-01-02-09.wav,6,2,1
06-02-02-01-09.wav,6,2,2
06-02-02-02-09.wav,6,2,2
07-01-01-01-09.wav,7,1,1
07-01-01-02-09.wav,7,1,1
07-01-02-01-09.wav,7,1,2
07-01-02-02-09.wav,7,1,2
07-02-01-01-09.wav,7,2,1
07-02-01-02-09.wav,7,2,1
07-02-02-01-09.wav,7,2,2
07-02-02-02-09.wav,7,2,2
08-01-01-01-09.wav,8,1,1
08-01-01-02-09.wav,8,1,1
08-01-02-01-09.wav,8,1,2
08-01-02-02-09.wav,8,1,2
08-02-01-01-09.wav,8,2,1
08-02-01-02-09.wav,8,2,1
08-02-02-01-09.wav,8,2,2
08-02-02-02-09.wav,8,2,2
01-01-01-01-11.wav,1,1,1
01-01-01-02-11.wav,1,1,1
01-01-02-01-11.wav,1,1,2
01-01-02-02-11.wav,1,1,2
02-01-01-01-11.wav,2,1,1
02-01-01-02-11.wav,2,1,1
02-01-02-01-11.wav,2,1,2
02-01-02-02-11.wav,2,1,2
02-02-01-01-11.wav,2,2,1
02-02-01-02-11.wav,2,2,1
02-02-02-01-11.wav,2,2,2
02-02-02-02-11.wav,2,2,2
03-01-01-01-11.wav,3,1,1
03-01-01-02-11.wav,3,1,1
03-01-02-01-11.wav,3,1,2
03-01-02-02-11.wav,3,1,2
03-02-01-01-11.wav,3,2,1
03-02-01-02-11.wav,3,2,1
03-02-02-01-11.wav,3,2,2
03-02-02-02-11.wav,3,2,2
04-01-01-01-11.wav,4,1,1
04-01-01-02-11.wav,4,1,1
04-01-02-01-11.wav,4,1,2
04-01-02-02-11.wav,4,1,2
04-02-01-01-11.wav,4,2,1
04-02-01-02-11.wav,4,2,1
04-02-02-01-11.wav,4,2,2
04-02-02-02-11.wav,4,2,2
05-01-01-01-11.wav,5,1,1
05-01-01-02-11.wav,5,1,1
05-01-02-01-11.wav,5,1,2
05-01-02-02-11.wav,5,1,2
05-02-01-01-11.wav,5,2,1
05-02-01-02-11.wav,5,2,1
05-02-02-01-11.wav,5,2,2
05-02-02-02-11.wav,5,2,2
06-01-01-01-11.wav,6,1,1
06-01-01-02-11.wav,6,1,1
06-01-02-01-11.wav,6,1,2
06-01-02-02-11.wav,6,1,2
06-02-01-01-11.wav,6,2,1
06-02-01-02-11.wav,6,2,1
06-02-02-01-11.wav,6,2,2
06-02-02-02-11.wav,6,2,2
07-01-01-01-11.wav,7,1,1
07-01-01-02-11.wav,7,1,1
07-01-02-01-11.wav,7,1,2
07-01-02-02-11.wav,7,1,2
07-02-01-01-11.wav,7,2,1
07-02-01-02-11.wav,7,2,1
07-02-02-01-11.wav,7,2,2
07-02-02-02-11.wav,7,2,2
08-01-01-01-11.wav,8,1,1
08-01-01-02-11.wav,8,1,1
08-01-02-01-11.wav,8,1,2
08-01-02-02-11.wav,8,1,2
08-02-01-01-11.wav,8,2,1
08-02-01-02-11.wav,8,2,1
08-02-02-01-11.wav,8,2,2
08-02-02-02-11.wav,8,2,2
01-01-01-01-13.wav,1,1,1
01-01-01-02-13.wav,1,1,1
01-01-02-01-13.wav,1,1,2
01-01-02-02-13.wav,1,1,2
02-01-01-01-13.wav,2,1,1
02-01-01-02-13.wav,2,1,1
02-01-02-01-13.wav,2,1,2
02-01-02-02-13.wav,2,1,2
02-02-01-01-13.wav,2,2,1
02-02-01-02-13.wav,2,2,1
02-02-02-01-13.wav,2,2,2
02-02-02-02-13.wav,2,2,2
03-01-01-01-13.wav,3,1,1
03-01-01-02-13.wav,3,1,1
03-01-02-01-13.wav,3,1,2
03-01-02-02-13.wav,3,1,2
03-02-01-01-13.wav,3,2,1
03-02-01-02-13.wav,3,2,1
03-02-02-01-13.wav,3,2,2
03-02-02-02-13.wav,3,2,2
04-01-01-01-13.wav,4,1,1
04-01-01-02-13.wav,4,1,1
04-01-02-01-13.wav,4,1,2
04-01-02-02-13.wav,4,1,2
04-02-01-01-13.wav,4,2,1
04-02-01-02-13.wav,4,2,1
04-02-02-01-13.wav,4,2,2
04-02-02-02-13.wav,4,2,2
05-01-01-01-13.wav,5,1,1
05-01-01-02-13.wav,5,1,1
05-01-02-01-13.wav,5,1,2
05-01-02-02-13.wav,5,1,2
05-02-01-01-13.wav,5,2,1
05-02-01-02-13.wav,5,2,1
05-02-02-01-13.wav,5,2,2
05-02-02-02-13.wav,5,2,2
06-01-01-01-13.wav,6,1,1
06-01-01-02-13.wav,6,1,1
06-01-02-01-13.wav,6,1,2
06-01-02-02-13.wav,6,1,2
06-02-01-01-13.wav,6,2,1
06-02-01-02-13.wav,6,2,1
06-02-02-01-13.wav,6,2,2
06-02-02-02-13.wav,6,2,2
07-01-01-01-13.wav,7,1,1
07-01-01-02-13.wav,7,1,1
07-01-02-01-13.wav,7,1,2
07-01-02-02-13.wav,7,1,2
07-02-01-01-13.wav,7,2,1
07-02-01-02-13.wav,7,2,1
07-02-02-01-13.wav,7,2,2
07-02-02-02-13.wav,7,2,2
08-01-01-01-13.wav,8,1,1
08-01-01-02-13.wav,8,1,1
08-01-02-01-13.wav,8,1,2
08-01-02-02-13.wav,8,1,2
08-02-01-01-13.wav,8,2,1
08-02-01-02-13.wav,8,2,1
08-02-02-01-13.wav,8,2,2
08-02-02-02-13.wav,8,2,2
01-01-01-01-15.wav,1,1,1
01-01-01-02-15.wav,1,1,1
01-01-02-01-15.wav,1,1,2
01-01-02-02-15.wav,1,1,2
02-01-01-01-15.wav,2,1,1
02-01-01-02-15.wav,2,1,1
02-01-02-01-15.wav,2,1,2
02-01-02-02-15.wav,2,1,2
02-02-01-01-15.wav,2,2,1
02-02-01-02-15.wav,2,2,1
02-02-02-01-15.wav,2,2,2
02-02-02-02-15.wav,2,2,2
03-01-01-01-15.wav,3,1,1
03-01-01-02-15.wav,3,1,1
03-01-02-01-15.wav,3,1,2
03-01-02-02-15.wav,3,1,2
03-02-01-01-15.wav,3,2,1
03-02-01-02-15.wav,3,2,1
03-02-02-01-15.wav,3,2,2
03-02-02-02-15.wav,3,2,2
04-01-01-01-15.wav,4,1,1
04-01-01-02-15.wav,4,1,1
04-01-02-01-15.wav,4,1,2
04-01-02-02-15.wav,4,1,2
04-02-01-01-15.wav,4,2,1
04-02-01-02-15.wav,4,2,1
04-02-02-01-15.wav,4,2,2
04-02-02-02-15.wav,4,2,2
05-01-01-01-15.wav,5,1,1
05-01-01-02-15.wav,5,1,1
05-01-02-01-15.wav,5,1,2
05-01-02-02-15.wav,5,1,2
05-02-01-01-15.wav,5,2,1
05-02-01-02-15.wav,5,2,1
05-02-02-01-15.wav,5,2,2
05-02-02-02-15.wav,5,2,2
06-01-01-01-15.wav,6,1,1
06-01-01-02-15.wav,6,1,1
06-01-02-01-15.wav,6,1,2
06-01-02-02-15.wav,6,1,2
06-02-01-01-15.wav,6,2,1
06-02-01-02-15.wav,6,2,1
06-02-02-01-15.wav,6,2,2
06-02-02-02-15.wav,6,2,2
07-01-01-01-15.wav,7,1,1
07-01-01-02-15.wav,7,1,1
07-01-02-01-15.wav,7,1,2
07-01-02-02-15.wav,7,1,2
07-02-01-01-15.wav,7,2,1
07-02-01-02-15.wav,7,2,1
07-02-02-01-15.wav,7,2,2
07-02-02-02-15.wav,7,2,2
08-01-01-01-15.wav,8,1,1
08-01-01-02-15.wav,8,1,1
08-01-02-01-15.wav,8,1,2
08-01-02-02-15.wav,8,1,2
08-02-01-01-15.wav,8,2,1
08-02-01-02-15.wav,8,2,1
08-02-02-01-15.wav,8,2,2
08-02-02-02-15.wav,8,2,2
01-01-01-01-17.wav,1,1,1
01-01-01-02-17.wav,1,1,1
01-01-02-01-17.wav,1,1,2
01-01-02-02-17.wav,1,1,2
02-01-01-01-17.wav,2,1,1
02-01-01-02-17.wav,2,1,1
02-01-02-01-17.wav,2,1,2
02-01-02-02-17.wav,2,1,2
02-02-01-01-17.wav,2,2,1
02-02-01-02-17.wav,2,2,1
02-02-02-01-17.wav,2,2,2
02-02-02-02-17.wav,2,2,2
03-01-01-01-17.wav,3,1,1
03-01-01-02-17.wav,3,1,1
03-01-02-01-17.wav,3,1,2
03-01-02-02-17.wav,3,1,2
03-02-01-01-17.wav,3,2,1
03-02-01-02-17.wav,3,2,1
03-02-02-01-17.wav,3,2,2
03-02-02-02-17.wav,3,2,2
04-01-01-01-17.wav,4,1,1
04-01-01-02-17.wav,4,1,1
04-01-02-01-17.wav,4,1,2
04-01-02-02-17.wav,4,1,2
04-02-01-01-17.wav,4,2,1
04-02-01-02-17.wav,4,2,1
04-02-02-01-17.wav,4,2,2
04-02-02-02-17.wav,4,2,2
05-01-01-01-17.wav,5,1,1
05-01-01-02-17.wav,5,1,1
05-01-02-01-17.wav,5,1,2
05-01-02-02-17.wav,5,1,2
05-02-01-01-17.wav,5,2,1
05-02-01-02-17.wav,5,2,1
05-02-02-01-17.wav,5,2,2
05-02-02-02-17.wav,5,2,2
06-01-01-01-17.wav,6,1,1
06-01-01-02-17.wav,6,1,1
06-01-02-01-17.wav,6,1,2
06-01-02-02-17.wav,6,1,2
06-02-01-01-17.wav,6,2,1
06-02-01-02-17.wav,6,2,1
06-02-02-01-17.wav,6,2,2
06-02-02-02-17.wav,6,2,2
07-01-01-01-17.wav,7,1,1
07-01-01-02-17.wav,7,1,1
07-01-02-01-17.wav,7,1,2
07-01-02-02-17.wav,7,1,2
07-02-01-01-17.wav,7,2,1
07-02-01-02-17.wav,7,2,1
07-02-02-01-17.wav,7,2,2
07-02-02-02-17.wav,7,2,2
08-01-01-01-17.wav,8,1,1
08-01-01-02-17.wav,8,1,1
08-01-02-01-17.wav,8,1,2
08-01-02-02-17.wav,8,1,2
08-02-01-01-17.wav,8,2,1
08-02-01-02-17.wav,8,2,1
08-02-02-01-17.wav,8,2,2
08-02-02-02-17.wav,8,2,2
01-01-01-01-19.wav,1,1,1
01-01-01-02-19.wav,1,1,1
01-01-02-01-19.wav,1,1,2
01-01-02-02-19.wav,1,1,2
02-01-01-01-19.wav,2,1,1
02-01-01-02-19.wav,2,1,1
02-01-02-01-19.wav,2,1,2
02-01-02-02-19.wav,2,1,2
02-02-01-01-19.wav,2,2,1
02-02-01-02-19.wav,2,2,1
02-02-02-01-19.wav,2,2,2
02-02-02-02-19.wav,2,2,2
03-01-01-01-19.wav,3,1,1
03-01-01-02-19.wav,3,1,1
03-01-02-01-19.wav,3,1,2
03-01-02-02-19.wav,3,1,2
03-02-01-01-19.wav,3,2,1
03-02-01-02-19.wav,3,2,1
03-02-02-01-19.wav,3,2,2
03-02-02-02-19.wav,3,2,2
04-01-01-01-19.wav,4,1,1
04-01-01-02-19.wav,4,1,1
04-01-02-01-19.wav,4,1,2
04-01-02-02-19.wav,4,1,2
04-02-01-01-19.wav,4,2,1
04-02-01-02-19.wav,4,2,1
04-02-02-01-19.wav,4,2,2
04-02-02-02-19.wav,4,2,2
05-01-01-01-19.wav,5,1,1
05-01-01-02-19.wav,5,1,1
05-01-02-01-19.wav,5,1,2
05-01-02-02-19.wav,5,1,2
05-02-01-01-19.wav,5,2,1
05-02-01-02-19.wav,5,2,1
05-02-02-01-19.wav,5,2,2
05-02-02-02-19.wav,5,2,2
06-01-01-01-19.wav,6,1,1
06-01-01-02-19.wav,6,1,1
06-01-02-01-19.wav,6,1,2
06-01-02-02-19.wav,6,1,2
06-02-01-01-19.wav,6,2,1
06-02-01-02-19.wav,6,2,1
06-02-02-01-19.wav,6,2,2
06-02-02-02-19.wav,6,2,2
07-01-01-01-19.wav,7,1,1
07-01-01-02-19.wav,7,1,1
07-01-02-01-19.wav,7,1,2
07-01-02-02-19.wav,7,1,2
07-02-01-01-19.wav,7,2,1
07-02-01-02-19.wav,7,2,1
07-02-02-01-19.wav,7,2,2
07-02-02-02-19.wav,7,2,2
08-01-01-01-19.wav,8,1,1
08-01-01-02-19.wav,8,1,1
08-01-02-01-19.wav,8,1,2
08-01-02-02-19.wav,8,1,2
08-02-01-01-19.wav,8,2,1
08-02-01-02-19.wav,8,2,1
08-02-02-01-19.wav,8,2,2
08-02-02-02-19.wav,8,2,2
01-01-01-01-21.wav,1,1,1
01-01-01-02-21.wav,1,1,1
01-01-02-01-21.wav,1,1,2
01-01-02-02-21.wav,1,1,2
02-01-01-01-21.wav,2,1,1
02-01-01-02-21.wav,2,1,1
02-01-02-01-21.wav,2,1,2
02-01-02-02-21.wav,2,1,2
02-02-01-01-21.wav,2,2,1
02-02-01-02-21.wav,2,2,1
02-02-02-01-21.wav,2,2,2
02-02-02-02-21.wav,2,2,2
03-01-01-01-21.wav,3,1,1
03-01-01-02-21.wav,3,1,1
03-01-02-01-21.wav,3,1,2
03-01-02-02-21.wav,3,1,2
03-02-01-01-21.wav,3,2,1
03-02-01-02-21.wav,3,2,1
03-02-02-01-21.wav,3,2,2
03-02-02-02-21.wav,3,2,2
04-01-01-01-21.wav,4,1,1
04-01-01-02-21.wav,4,1,1
04-01-02-01-21.wav,4,1,2
04-01-02-02-21.wav,4,1,2
04-02-01-01-21.wav,4,2,1
04-02-01-02-21.wav,4,2,1
04-02-02-01-21.wav,4,2,2
04-02-02-02-21.wav,4,2,2
05-01-01-01-21.wav,5,1,1
05-01-01-02-21.wav,5,1,1
05-01-02-01-21.wav,5,1,2
05-01-02-02-21.wav,5,1,2
05-02-01-01-21.wav,5,2,1
05-02-01-02-21.wav,5,2,1
05-02-02-01-21.wav,5,2,2
05-02-02-02-21.wav,5,2,2
06-01-01-01-21.wav,6,1,1
06-01-01-02-21.wav,6,1,1
06-01-02-01-21.wav,6,1,2
06-01-02-02-21.wav,6,1,2
06-02-01-01-21.wav,6,2,1
06-02-01-02-21.wav,6,2,1
06-02-02-01-21.wav,6,2,2
06-02-02-02-21.wav,6,2,2
07-01-01-01-21.wav,7,1,1
07-01-01-02-21.wav,7,1,1
07-01-02-01-21.wav,7,1,2
07-01-02-02-21.wav,7,1,2
07-02-01-01-21.wav,7,2,1
07-02-01-02-21.wav,7,2,1
07-02-02-01-21.wav,7,2,2
07-02-02-02-21.wav,7,2,2
08-01-01-01-21.wav,8,1,1
08-01-01-02-21.wav,8,1,1
08-01-02-01-21.wav,8,1,2
08-01-02-02-21.wav,8,1,2
08-02-01-01-21.wav,8,2,1
08-02-01-02-21.wav,8,2,1
08-02-02-01-21.wav,8,2,2
08-02-02-02-21.wav,8,2,2
01-01-01-01-23.wav,1,1,1
01-01-01-02-23.wav,1,1,1
01-01-02-01-23.wav,1,1,2
01-01-02-02-23.wav,1,1,2
02-01-01-01-23.wav,2,1,1
02-01-01-02-23.wav,2,1,1
02-01-02-01-23.wav,2,1,2
02-01-02-02-23.wav,2,1,2
02-02-01-01-23.wav,2,2,1
02-02-01-02-23.wav,2,2,1
02-02-02-01-23.wav,2,2,2
02-02-02-02-23.wav,2,2,2
03-01-01-01-23.wav,3,1,1
03-01-01-02-23.wav,3,1,1
03-01-02-01-23.wav,3,1,2
03-01-02-02-23.wav,3,1,2
03-02-01-01-23.wav,3,2,1
03-02-01-02-23.wav,3,2,1
03-02-02-01-23.wav,3,2,2
03-02-02-02-23.wav,3,2,2
04-01-01-01-23.wav,4,1,1
04-01-01-02-23.wav,4,1,1
04-01-02-01-23.wav,4,1,2
04-01-02-02-23.wav,4,1,2
04-02-01-01-23.wav,4,2,1
04-02-01-02-23.wav,4,2,1
04-02-02-01-23.wav,4,2,2
04-02-02-02-23.wav,4,2,2
05-01-01-01-23.wav,5,1,1
05-01-01-02-23.wav,5,1,1
05-01-02-01-23.wav,5,1,2
05-01-02-02-23.wav,5,1,2
05-02-01-01-23.wav,5,2,1
05-02-01-02-23.wav,5,2,1
05-02-02-01-23.wav,5,2,2
05-02-02-02-23.wav,5,2,2
06-01-01-01-23.wav,6,1,1
06-01-01-02-23.wav,6,1,1
06-01-02-01-23.wav,6,1,2
06-01-02-02-23.wav,6,1,2
06-02-01-01-23.wav,6,2,1
06-02-01-02-23.wav,6,2,1
06-02-02-01-23.wav,6,2,2
06-02-02-02-23.wav,6,2,2
07-01-01-01-23.wav,7,1,1
07-01-01-02-23.wav,7,1,1
07-01-02-01-23.wav,7,1,2
07-01-02-02-23.wav,7,1,2
07-02-01-01-23.wav,7,2,1
07-02-01-02-23.wav,7,2,1
07-02-02-01-23.wav,7,2,2
07-02-02-02-23.wav,7,2,2
08-01-01-01-23.wav,8,1,1
08-01-01-02-23.wav,8,1,1
08-01-02-01-23.wav,8,1,2
08-01-02-02-23.wav,8,1,2
08-02-01-01-23.wav,8,2,1
08-02-01-02-23.wav,8,2,1
08-02-02-01-23.wav,8,2,2
08-02-02-02-23.wav,8,2,2
01-01-01-01-02.wav,1,1,1
01-01-01-02-02.wav,1,1,1
01-01-02-01-02.wav,1,1,2
01-01-02-02-02.wav,1,1,2
02-01-01-01-02.wav,2,1,1
02-01-01-02-02.wav,2,1,1
02-01-02-01-02.wav,2,1,2
02-01-02-02-02.wav,2,1,2
02-02-01-01-02.wav,2,2,1
02-02-01-02-02.wav,2,2,1
02-02-02-01-02.wav,2,2,2
02-02-02-02-02.wav,2,2,2
03-01-01-01-02.wav,3,1,1
03-01-01-02-02.wav,3,1,1
